Thinkful	https://www.thinkful.com/	500	monthly	mentor,course	javascript,full stack,web development	n
airpair	https://www.airpair.com/	0	n/a	example	python,node,react,php,swift	n
20 Best Free Tutorials to Learn Python	http://noeticforce.com/best-free-tutorials-to-learn-python-pdfs-ebooks-online-interactive	0	n/a	resource	python	n
Computer Science Unplugged	http://csunplugged.org/	0	n/a	video	computer science	n
Learn Data Sci	http://www.learndatasci.com/free-data-science-books	0	n/a	ebook	data science	n
Linda Rising on the Agile Brain	http://www.se-radio.net/2015/09/se-radio-episode-238-linda-rising-on-the-agile-brain/	0	n/a	podcast	agile	n
Saturn 2015	http://www.sei.cmu.edu/saturn/2015/video.cfm	0	n/a	video	software, software architecture	n
PureScript by Example	https://leanpub.com/purescript/read	0	n/a	ebook	javascript,purescript	n
Learning threejs	https://github.com/josdirksen/learning-threejs	0	n/a	ebook	threejs	n
Jeff Erickson's Algorithms, Etc	http://web.engr.illinois.edu/~jeffe/teaching/algorithms/	0	n/a	ebook	algorithms	n
Advent of Code 2016	http://adventofcode.com/	0	n/a	interactive,code,challenge	puzzle	n
Real World Haskell	http://book.realworldhaskell.org/	0	n/a	ebook	haskell	n
How to Use Pluralsight Training for Free	https://www.labnol.org/internet/pluralsight-free-training/29063/	0	n/a	blog	pluralsight	n
ThoughtBot	https://thoughtbot.com/upcase	29	monthly	course,video	rails,ruby,git,vim,javascript	n
Ctrl + Paint	https://www.ctrlpaint.com/	0	n/a	video	painting	n
A Docker Tutorial for Beginners	https://docker-curriculum.com/	0	n/a	tutorial,documentation,example	docker	n
Docker Training	https://training.docker.com/	0	n/a	video,documentation,ebook	docker	n
Computer Science Field Guide	http://www.csfieldguide.org.nz/	0	n/a	ebook,video	human computer interaction	n
Learn Enough	https://www.learnenough.com/courses	0	n/a	ebook	git,html,css,cl	n
JSON Web Token Introduction	https://jwt.io/introduction/	0	n/a	documentation	json web token	n
Packt Free Learning	https://www.packtpub.com/packt/offers/free-learning	0	n/a	ebook	java,python,angular	n
Swirl: Learn R in R	http://swirlstats.com/	0	n/a	project,tutorial	r	n
100+ Awesome Web Development Tools	https://www.keycdn.com/blog/web-development-tools/	0	n/a	resource	web development	n
Superhero.js	http://superherojs.com/	0	n/a	resource	javascript,dom	n
3Blue1Brown	http://www.3blue1brown.com/	0	n/a	video,podcast	math,calculus,algebra	n
High Performance Browser Networking	https://hpbn.co/	0	n/a	ebook	networking	n
Structure and Interpretation of Computer Programs	http://web.mit.edu/alexmv/6.037/sicp.pdf	0	n/a	ebook	software structure	n
Rich Hickey Fanclub	https://github.com/tallesl/Rich-Hickey-fanclub	0	n/a	video,resource	database,java	n
Flexbox Defense	http://www.flexboxdefense.com/	0	n/a	interactive	flexbox,css	n
Safari Books Online	http://techbus.safaribooksonline.com/search?srcuserquery=(BOOKTITLE%20%22Learning%20Path%22)&sort=insertDate&order=desc	0	n/a	video,ebook	javascript,angular,r,java	n
Go By Example	https://gobyexample.com/	0	n/a	example	go	n
Teaching kids to program in their native language	https://opensource.googleblog.com/2016/03/teaching-kids-to-program-in-their.html	0	n/a	blog	lisp,logo	n
Make a Language in One Hour: Stacker	http://beautifulracket.com/stacker/	0	n/a	ebook	language	n
Cybrary	https://www.cybrary.it/	0	n/a	course,video	security,hacking	n
Phlearn	https://phlearn.com/free-tutorials	0	n/a	video,project	photoshop	n
Rust By Example	https://rustbyexample.com/	0	n/a	ebook	rust	n
You Don't Know JS	https://github.com/getify/You-Dont-Know-JS	0	n/a	ebook,video	javascript	n
Crash Course	https://thecrashcourse.com/	0	n/a	video,interactive	anatomy,astronomy,history,economics,psychology	y
Web Rebels 2016	https://opbeat.com/community/events/web-rebels-2016/#change-the-world-with-the-peer-web-and-thali	0	n/a	video	web,front-end,javascript	n
EbookFoundation	https://github.com/EbookFoundation/free-programming-books	0	n/a	ebook,resource	library,programming	n
InfoQ	https://www.youtube.com/user/MarakanaTechTV/videos	0	n/a	video	data science,machine learning,devops	n
Hacker Rank	https://www.hackerrank.com/dashboard	0	n/a	interactive,challenge	c++,java,python,ruby,functional	n
LeetCode	https://leetcode.com/	0	n/a	interactive,challenge	c,c++,java,python,go,swift,javascript	n
Codewars	https://www.codewars.com/	0	n/a	interactive,challenge	c++,javascript,python,go,swift,haskell,php	n
Exercism	http://exercism.io/	0	n/a	project,challenge	c,c++,java,python,go,swift,javascript	y
React Enlightenment	https://www.reactenlightenment.com/	0	n/a	ebook	react	n
The Node Beginner Book	https://glitch.com/edit/#!/node-beginner?path=README.md:1:0	0	n/a	ebook	node	n
Kubernetes the Hard Way	https://github.com/kelseyhightower/kubernetes-the-hard-way	0	n/a	ebook	kubernetes	n
Web Fundamentals	https://developers.google.com/web/fundamentals/	0	n/a	tutorial,video,blog	google,design,ui,architecture	n
Rithm School	https://www.rithmschool.com/courses	0	n/a	tutorial,course	javascript,react,node,python	n
Elm Town	https://elmtown.github.io/	0	n/a	podcast	elm	n
Syncfusion ebooks	https://www.syncfusion.com/resources/techportal/ebooks	0	n/a	ebook	java,php,go,.net	n
CSS Reference	http://cssreference.io/	0	n/a	interactive	css,flexbox,animation	n
Secrets to Being Smarter	https://www.pluralsight.com/blog/career/smarter-secrets-podcasts	0	n/a	podcast	development,c++,.net,javascript	n
Beginning to Elm	http://elmprogramming.com/	0	n/a	ebook,documentation	elm	n
Marksheet	http://marksheet.io/	0	n/a	ebook,documentation	css,html	y
Elm Orlando	https://elmorlando.herokuapp.com/#/	0	n/a	ebook,video	elm	n
Game Development	https://game-development.zeef.com/david.arcila	0	n/a	resource,project	game development	n
Video Copilot	http://www.videocopilot.net/	0	n/a	video,tutorial,blog	video editing,after effects	n
Brave Clojure	https://www.braveclojure.com/	0	n/a	ebook,email	clojure	n
The art of storytelling	https://www.khanacademy.org/partner-content/pixar/storytelling	0	n/a	video,course	storytelling	n
Mathmatics for Computer Science	https://courses.csail.mit.edu/6.042/spring17/mcs.pdf	0	n/a	ebook	computer science,math	n
Scrimba	https://scrimba.com/about	0	n/a	project,documentation	screencast	n
System Design Primer	https://github.com/donnemartin/system-design-primer	0	n/a	documentation,ebook	system design	n
Teach Yourself Computer Science	https://teachyourselfcs.com/	0	n/a	resource,ebook	math,computer science,architecture,algorithms	n
Snack	https://snack.expo.io/	0	n/a	example,interactive	react,native	n
Transforming Data with ClojureScript	http://langintro.com/cljsbook/	0	n/a	ebook	clojurescript	n
ng-conf 2017	https://www.youtube.com/playlist?list=PLOETEcp3DkCoS_2cW205cfRGl-Xp5jw4K	0	n/a	video	angular	n
Competitive Programmer's Handbook	https://cses.fi/book.html	0	n/a	ebook	programming	n
Learn React	https://learnreact.com/	4	course	course,video	react	n
Full Stack Talks	https://www.youtube.com/channel/UCpq2_V-9AYYUHSsjoJZPUTg	0	n/a	video	full stack,css,react,polymer	n
Front End Center	https://frontend.center/	0,15	n/a,monthly	video	react,javascript	n
UX Designers	https://uxplanet.org/ux-designers-here-are-the-50-best-online-courses-to-learn-something-new-d6e65024274f	0	n/a	blog,resource	ux,user experience	n
Learn CSS Layout	https://thecssworkshop.com/	99	course	course,video	css	n
A Complete Web Developer Reading List	http://thenewcode.com/1188/A-Complete-Web-Developer-Reading-List	0	n/a	course,example	css,html,javascript,mysql,seo,php	n
Online Mathematics Textbooks	http://people.math.gatech.edu/~cain/textbooks/onlinebooks.html	0	n/a	ebook	math	n
Elm Workshop	https://github.com/rtfeldman/elm-workshop/	0	n/a	project,tutorial	elm	n
Spellbook of Modern Web Dev	https://github.com/dexteryy/spellbook-of-modern-webdev	0	n/a	resource	css,node,next	n
Clojure Newbie Guide	http://www.clojurenewbieguide.com/	0	n/a	tutorial,documentation,challenge,resource	clojure	n
Awesome Vue	https://github.com/vuejs/awesome-vue	0	n/a	resource,podcast,tutorial	vue.js	n
React's Most Basics	https://reactarmory.com/guides/learn-react-by-itself/react-basics	0	n/a	tutorial,interactive	react,javascript	n
The Common Lisp Cookbook	https://lispcookbook.github.io/cl-cookbook/	0	n/a	tutorial,example	lisp	n
VisuAlgo	https://visualgo.net/	0	n/a	interactive,example	algorithms	n
Under The Hood: ReactJS	https://bogdan-lyashenko.github.io/Under-the-hood-ReactJS/	0	n/a	documentation,example	react	n
A set of best practices for JavaScript projects	https://github.com/wearehive/project-guidelines	0	n/a	example,tutorial	git,api	n
Skyrocket in Android and Node.js	https://futurestud.io/	60	semiannually	tutorial,video	android,node	n
Going Mobile With React Native	https://blog.clubhouse.io/going-mobile-with-react-native-891e1a602465	0	n/a	article,example	react,react native	n
Idiomatic Redux	http://blog.isquaredsoftware.com/2017/05/idiomatic-redux-tao-of-redux-part-1/	0	n/a	blog,resource	redux	n
Learn JavaScript with Eric Elliot	https://ericelliottjs.com/product/lifetime-access-pass/	495	once	ebook,course,video,example	javascript	n
A Real World Guide to WebRTC	https://deepstreamhub.com/tutorials/protocols/webrtc-intro/	0	n/a	tutorial,example	webrtc	n
CS233 Schedule	https://www.classes.cs.uchicago.edu/archive/2017/spring/22300-1/schedule.html	0	n/a	tutorial,example	elm	n
liveBook	https://livebook.manning.com/?trk_msg=OSRODFD7NHCKB4P5R9R1J2NIVS&trk_contact=QM717KMFFAHTI7SDGRV1FLKDFK&trk_sid=KKRHDUI0OT4RS1S48S1DV9BCJ4&utm_source=Listrak&utm_medium=Email&utm_term=https%3a%2f%2flivebook.manning.com%2f&utm_campaign=Meet+liveBook%2c+Manning%E2%80%99s+FREE+online+reading+platform	39.99	once	ebook,tutorial	python,javascript,electron,angular	n
Elixir School	https://elixirschool.com/	0	n/a	example,ebook	elixir	n
React Workshop	https://github.com/ReactTraining/react-workshop	0	n/a	download	react	n
Learn Web Development	https://developer.mozilla.org/en-US/docs/Learn	0	n/a	tutorial,example,documentation	html,css,javascript	n
Learn Regex the Easy Way	https://github.com/zeeshanu/learn-regex	0	n/a	example	regex	n
How to Program a NES game in C	https://nesdoug.com/	0	n/a	blog,example	nes,c,game	n
Karan's Mega Projects List	https://github.com/karan/projects	0	n/a	project	idea,pythin,c++	n
Sketch for Designer	http://sketch.fordesignrs.com/	0	n/a	example,resource	sketch,design	n
Modern DevTools	https://moderndevtools.com/	93	once	video,tool	javascript,debugging	n
Learn D3.js in 5 Days	https://benclinkinbeard.com/d3in5days/	0	n/a	email	d3	n
CodeNewbie	https://www.codenewbie.org/	0	n/a	podcast,email	javascript,code,creating	n
Web Animation Essentials	http://rachelnabors.com/css-animations-course/	129	once	course,video,tutorial	css,animation	n
React FAQ 	https://reactfaq.site/	0	n/a	resource,article	react,javascript,jsx	n
CSS Grid Playground	https://mozilladevelopers.github.io/playground/	0	n/a	resource,example	css,html	n
Clojure Academy	https://clojurecademy.com/#	0	n/a	documentation,course	clojure	n
Interactive Vim Tutorial	http://www.openvim.com/	0	n/a	interactive,tutorial	vim	n
Coderust 2.0	https://www.educative.io/collection/5642554087309312/5679846214598656	129	once	mentor,course,example	algorithms,data structures,c++,java,python,javascript,ruby	n
Educative	https://www.educative.io/	0,29,79	n/a,course	course	react,css,javascript,python	n
The Magic of CSS	http://adamschwartz.co/magic-of-css/	0	n/a	ebook	css	n
Simple React Patterns	https://lucasmreis.github.io/blog/simple-react-patterns/	0	n/a	blog,example	react	n
Kaggle	https://www.kaggle.com/	0	n/a	challenge	data science,machine learning	n
Grid by Example	https://gridbyexample.com/	0	n/a	resource,example	css,css grid	n
Wix	http://www.wix.com/showyourart/photography?experiment_id=%5Econtrastlake%5E%5E&utm_campaign=bd_pocket_us_photographers	0	n/a	website	website	n
The Experimental Layout Lab of Jen Simmons	http://labs.jensimmons.com/	0	n/a	lab,example	css grid,css	n
The Layouts Ahead	http://labs.thewebahead.net/thelayoutsahead/	0	n/a	example	css	n
CSS Layout News	http://csslayout.news/	0	n/a	resource,example	css	n
